code,area,year,number_of_jobs,job_density,gcode,lat,lon
E09000010,Enfield,2002,104000,0.57,E09000010,51.6537,-0.080609
E09000011,Greenwich,2002,73000,0.5,E09000011,51.4893,0.0647926
E09000012,Hackney,2002,108000,0.75,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2002,119000,0.94,E09000013,51.5064,-0.137447
E09000014,Haringey,2002,75000,0.47,E09000014,51.6002,-0.111927
E09000015,Harrow,2002,80000,0.57,E09000015,51.5846,-0.332159
E09000016,Havering,2002,91000,0.65,E09000016,51.5817,0.186821
E09000017,Hillingdon,2002,182000,1.13,E09000017,51.5289,-0.481374
E09000018,Hounslow,2002,136000,0.91,E09000018,51.4984,-0.1284
E09000019,Islington,2002,169000,1.29,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2002,140000,1.17,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2002,79000,0.77,E09000021,51.4029,-0.256523
E09000022,Lambeth,2002,137000,0.69,E09000022,51.4603,-0.11663
E09000023,Lewisham,2002,79000,0.45,E09000023,51.447,-0.0187319
E09000024,Merton,2002,77000,0.59,E09000024,51.3985,-0.1986
E09000025,Newham,2002,74000,0.43,E09000025,51.533,0.0540634
E09000026,Redbridge,2002,83000,0.52,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2002,80000,0.67,E09000027,51.4479,-0.326159
E09000028,Southwark,2002,166000,0.92,E09000028,51.4737,-0.0821115
E09000029,Sutton,2002,73000,0.62,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2002,160000,1.12,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2002,70000,0.46,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2002,127000,0.62,E09000032,51.4572,-0.194519
E09000033,Westminster,2002,598000,3.82,E09000033,51.4974,-0.136655
E09000001,City of London,2003,344000,61.91,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2003,55000,0.53,E09000002,51.5636,0.152614
E09000003,Barnet,2003,138000,0.65,E09000003,51.5878,-0.229105
E09000004,Bexley,2003,77000,0.55,E09000004,51.5524,-0.30256
E09000005,Brent,2003,119000,0.65,E09000005,51.4042,0.01998
E09000006,Bromley,2003,125000,0.67,E09000006,51.4042,0.01998
E09000007,Camden,2003,279000,1.86,E09000007,51.5275,-0.124663
E09000008,Croydon,2003,153000,0.69,E09000008,51.3726,-0.096801
E09000009,Ealing,2003,137000,0.64,E09000009,51.6537,-0.080609
E09000010,Enfield,2003,111000,0.6,E09000010,51.6537,-0.080609
E09000011,Greenwich,2003,76000,0.51,E09000011,51.4893,0.0647926
E09000012,Hackney,2003,98000,0.68,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2003,125000,0.99,E09000013,51.5064,-0.137447
E09000014,Haringey,2003,78000,0.49,E09000014,51.6002,-0.111927
E09000015,Harrow,2003,83000,0.59,E09000015,51.5846,-0.332159
E09000016,Havering,2003,92000,0.66,E09000016,51.5817,0.186821
E09000017,Hillingdon,2003,182000,1.12,E09000017,51.5289,-0.481374
E09000018,Hounslow,2003,135000,0.91,E09000018,51.4984,-0.1284
E09000019,Islington,2003,177000,1.35,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2003,133000,1.11,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2003,79000,0.77,E09000021,51.4029,-0.256523
E09000022,Lambeth,2003,140000,0.71,E09000022,51.4603,-0.11663
E09000023,Lewisham,2003,80000,0.46,E09000023,51.447,-0.0187319
E09000024,Merton,2003,77000,0.6,E09000024,51.3985,-0.1986
E09000025,Newham,2003,77000,0.45,E09000025,51.533,0.0540634
E09000026,Redbridge,2003,84000,0.52,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2003,84000,0.7,E09000027,51.4479,-0.326159
E09000028,Southwark,2003,178000,0.99,E09000028,51.4737,-0.0821115
E09000029,Sutton,2003,72000,0.61,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2003,164000,1.13,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2003,70000,0.46,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2003,127000,0.62,E09000032,51.4572,-0.194519
E09000033,Westminster,2003,605000,3.81,E09000033,51.4974,-0.136655
E09000001,City of London,2004,332000,59.73,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2004,53000,0.51,E09000002,51.5636,0.152614
E09000003,Barnet,2004,135000,0.63,E09000003,51.5878,-0.229105
E09000004,Bexley,2004,85000,0.61,E09000004,51.5524,-0.30256
E09000005,Brent,2004,119000,0.65,E09000005,51.4042,0.01998
E09000006,Bromley,2004,126000,0.67,E09000006,51.4042,0.01998
E09000007,Camden,2004,278000,1.82,E09000007,51.5275,-0.124663
E09000008,Croydon,2004,153000,0.69,E09000008,51.3726,-0.096801
E09000009,Ealing,2004,136000,0.63,E09000009,51.6537,-0.080609
E09000010,Enfield,2004,110000,0.59,E09000010,51.6537,-0.080609
E09000011,Greenwich,2004,77000,0.5,E09000011,51.4893,0.0647926
E09000012,Hackney,2004,96000,0.65,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2004,128000,1.01,E09000013,51.5064,-0.137447
E09000014,Haringey,2004,78000,0.49,E09000014,51.6002,-0.111927
E09000015,Harrow,2004,81000,0.57,E09000015,51.5846,-0.332159
E09000016,Havering,2004,92000,0.65,E09000016,51.5817,0.186821
E09000017,Hillingdon,2004,196000,1.2,E09000017,51.5289,-0.481374
E09000018,Hounslow,2004,130000,0.86,E09000018,51.4984,-0.1284
E09000019,Islington,2004,179000,1.35,E09000019,51.4984,-0.1284
